"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Acanthaceae","Justicia","sellowiana","Profice","ACANTHACEAE Justicia sellowiana Profice","RB00855961","GBIF","RB","Nadruz, M.","2839","Native","Ouro","High","Estrada trilha do ouro. Parque Nacional Serra da Bocaina"
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Acanthaceae","Staurogyne","itatiaiae","(Wawra) Leonard","ACANTHACEAE Staurogyne itatiaiae (Wawra) Leonard","RB00038525","GBIF","RB","Martinelli, G.","4665","Native","Ouro","High","Parque Nacional da Serra da Bocaina, próximo ao Marco nº 22. Parque Nacional da Serra da Bocaina"
"PARQUE NACIONAL SERRA DA BOCAINA",,"Acanthaceae|Rubiaceae","Justicia|Gonzalagunia",,"L.|Ruiz & Pav.","ACANTHACEAE|RUBIACEAE Justicia L.|Gonzalagunia Ruiz & Pav.","RB00856656","Reflora","RB","Nadruz, M.","2849",,"Ouro","High","Estrada trilha do ouro. Parque Nacional Serra da Bocaina"
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Amaryllidaceae","Griffinia","intermedia","Lindl.","AMARYLLIDACEAE Griffinia intermedia Lindl.","210410","GBIF","UEC","Campos-Rocha, A.","1608","Native","Bronze","High","Próxima à rodovia de acesso para o Parque Nacional da Serra da Bocaina."
"PARQUE NACIONAL SERRA DA BOCAINA","Ferns and Lycophytes","Anemiaceae","Anemia","hirsuta","(L.) Sw.","ANEMIACEAE Anemia hirsuta (L.) Sw.","61116","GBIF","UPCB","Labiak, P.H.","4312","Native","Ouro","High","Estrada para o Parque Nacional da Serra da Bocaina. Rodovia SP 221."
"PARQUE NACIONAL SERRA DA BOCAINA","Ferns and Lycophytes","Anemiaceae","Anemia","tomentosa","(Schrad.) Mickel","ANEMIACEAE Anemia tomentosa var. anthriscifolia (Schrad.) Mickel","61113","GBIF","UPCB","Labiak, P.H.","4268","Native","Ouro","High","Parque Nacional da Serra da Bocaina."
"PARQUE NACIONAL SERRA DA BOCAINA","Ferns and Lycophytes","Anemiaceae","Anemia","villosa","Humb. & Bonpl. ex Willd.","ANEMIACEAE Anemia villosa Humb. & Bonpl. ex Willd.","61119","GBIF","UPCB","Labiak, P.H.","4328","Native","Ouro","High","Estrada do Parque Nacional da Serra da Bocaina para Campos Novos."
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Annonaceae","Annona","dolabripetala","Raddi","ANNONACEAE Annona dolabripetala Raddi","UNIP08051","GBIF","UNIP","Paciencia, M.","3546","Native","Ouro","High","Sítio da Lua. Zona rural de Cunha, arredores do PARNA Serra da Bocaina. Área aberta."
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Apocynaceae","Allamanda","cathartica","L.","APOCYNACEAE Allamanda cathartica L.","142098","GBIF","UEC","Gomes, S.M.","726","Native","Bronze","High","Parque Nacional da Serra da Bocaina, Núcleo Picinguaba."
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Apocynaceae","Orthosia","scoparia","(Nutt.) Liede & Meve","APOCYNACEAE Orthosia scoparia (Nutt.) Liede & Meve","SPF00145083","Splink","SPF",,"928","Native","Ouro","High","Parque Nacional da Serra da Bocaina, Entre o portão do IBAMA e o Rio Mambucaba."
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Apocynaceae","Oxypetalum","sublanatum","Malme","APOCYNACEAE Oxypetalum sublanatum Malme","SPF00145086","Splink","SPF",,"930","Native","Ouro","High","Parque Nacional da Serra da Bocaina, Entre o portão do IBAMA e o Rio Mambucaba."
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Apocynaceae","Peplonia","organensis","(E.Fourn.) Fontella & Rapini","APOCYNACEAE Peplonia organensis (E.Fourn.) Fontella & Rapini","SPF00145082","Splink","SPF",,"927","Native","Ouro","High","Parque Nacional da Serra da Bocaina, Entre o portão do IBAMA e o Rio Mambucaba."
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Apocynaceae","Tabernaemontana","hystrix","Steud.","APOCYNACEAE Tabernaemontana hystrix Steud.","142060","GBIF","UEC","Gomes, S.M.","727","Native","Latão","High","Parque Nacional da Serra da Bocaina, Núcleo Pinciguaba."
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Aquifoliaceae","Ilex",,"L.","AQUIFOLIACEAE Ilex L.","170699","GBIF","UEC","Almeda, F.","9848",,"Latão","High","Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27."
"PARQUE NACIONAL SERRA DA BOCAINA","Angiosperms","Araceae","Anthurium","langsdorffii","Schott","ARACEAE Anthurium langsdorffii Schott","R010085619","Reflora","R","Manhaes, V.C.","697","Native","Ouro","High","PARNA Serra da Bocaína. Trilha do Frade. Parque Nacional da Serra da Bocaina"
