"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Asteraceae|Cyperaceae","Heterocondylus",,"R.M.King","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King","UB0004592","Splink","UB","Eiten, G.","8106",,"Latão","Low","10,1 km south of main plaza of city of São José dos Campos (8,1 km S of Rio - São Paulo highway), along road to Paraibuna. On lower part of gentle slope 100 m west of highway.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Cordiaceae","Cordia","superba","Cham.","CORDIACEAE Cordia superba Cham.",,"GBIF",,,,"Native","Latão","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Cyperaceae","Bulbostylis","hirtella","(Schrad.) Urb.","CYPERACEAE Bulbostylis hirtella (Schrad.) Urb.","UB0004124","Splink","UB","Eiten, G.","8120","Native","Ouro","Low","2.9km SW, along Rio-S.Paulo highway, from turnoff to city of São José dos Campos.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Cyperaceae","Bulbostylis","truncata","(Nees) M.T.Strong","CYPERACEAE Bulbostylis truncata (Nees) M.T.Strong","UB0004364","Splink","UB","Mimura, I.","95","Native","Ouro","Low","Ca. 7,8 km SSE em linha reta da praça principal de São José dos Campos.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Cyperaceae","Cyperus","aggregatus","(Willd.) Endl.","CYPERACEAE Cyperus aggregatus (Willd.) Endl.","UB0005327","Splink","UB","Mimura, I.","108","Native","Bronze","Low","Uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata, ca. 7,2 km SSE em linha reta da praça principal de São José dos Campos.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Cyperaceae","Cyperus","luzulae","(L.) Retz.","CYPERACEAE Cyperus luzulae (L.) Retz.","UB0005650","Splink","UB","Mimura, I.","79A","Native","Bronze","Low","Parte inferior da encosta leste do vale do Córrego da Ressaca, 6 1/2 km ao SW (ao longo da Rodovia Pres. Dutra) da saída para São José dos Campos, e dentro de 500 m ao SE da rodovia.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Cyperaceae","Eleocharis",,"R.Br.","CYPERACEAE Eleocharis R.Br.","UB0008041","Splink","UB","Mimura, I.","270",,"Latão","Low","Uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata, ca. 8 km SW em linha reta da praça principal de São José dos Campos.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Fabaceae","Mimosa","hirsutissima","Mart.","FABACEAE Mimosa hirsutissima Mart.",,"Splink","HBVIRTFLBRAS","Martius, C.F.P.","s.n.","Native","Latão","Low","in campis prope villam S. Josephe provinciae S. Paulo","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Malvaceae","Sida","linifolia","Cav.","MALVACEAE Sida linifolia Cav.",,"GBIF",,,,"Native","Latão","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Myrtaceae","Eugenia",,"L.","MYRTACEAE Eugenia L.","UB1263807","Splink","UB","Mimura, I.","78",,"Latão","Low","1/2 km ao S.W da saída para São José dos Campos.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Myrtaceae","Myrcia","splendens","(Sw.) DC.","MYRTACEAE Myrcia splendens (Sw.) DC.","UB1329304","Splink","UB","Eiten, G.","5752","Native","Ouro","Low","Exactly 5 km south of main place of city of São José dos Campos.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Myrtaceae","Pimenta","pseudocaryophyllus","(Gomes) Landrum","MYRTACEAE Pimenta pseudocaryophyllus (Gomes) Landrum","UB1068296","Splink","UB","Mimura, I.","146","Native","Ouro","Low","Rod. Presidente Dutra 100 a 500m do lado SE da rod.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Myrtaceae","Psidium","guajava","L.","MYRTACEAE Psidium guajava L.",,"GBIF",,,,"Naturalized","Latão","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Ochnaceae","Ouratea","floribunda","(A.St.-Hil.) Engl.","OCHNACEAE Ouratea floribunda (A.St.-Hil.) Engl.","UB1157229","Splink","UB","Eiten, G.","5769","Native","Bronze","Low","Along road to Paraibuna, at 6,7-6,8 km south & 2,15- 2,2 km east of main plaza of city of São José dos Campos.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Ochnaceae","Sauvagesia","racemosa","A.St.-Hil.","OCHNACEAE Sauvagesia racemosa A.St.-Hil.","UB1092140","Splink","UB","Mimura, I.","336","Native","Latão","Low","Parte inferior da encosta leste do vale do Córrego da Ressaca, 6 1/2 km ao SW ( ao longo da Rodovia Presidente Dutra) da saída para São José dos Campos, e dentro de 500m ao SE da rodovia.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Angiosperms","Onagraceae","Ludwigia","nervosa","(Poir.) H.Hara","ONAGRACEAE Ludwigia nervosa (Poir.) H.Hara","UB1278403","Splink","UB","Mimura, I.","335","Native","Ouro","Low","Parte inferior da encosta leste do vale do Córrego da Ressaca, 6 1/2km ao SW ( ao longo da Rodovia Pres. Dutra) da saída para São José dos Campos, e dentro de 500 m ao SE da rodovia.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Ferns and Lycophytes","Pteridaceae","Adiantopsis","chlorophylla","(Sw.) Fée","PTERIDACEAE Adiantopsis chlorophylla (Sw.) Fée","102620201","Splink","MO-DUPLICATES","Prado, J.","2068","Native","Bronze","Low","Serra do Japi. Na trilha á esquerda antes de chegar na base da Reserva, indo para a Cachoeira Paraíso.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO","Ferns and Lycophytes","Pteridaceae","Doryopteris","pentagona","Pic. Serm.","PTERIDACEAE Doryopteris pentagona Pic. Serm.","102620200","Splink","MO-DUPLICATES","Prado, J.","2056","Native","Bronze","Low","Serra do Japi. Na trilha do DAE para o observatório.","Não"
