"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cordiaceae","Cordia","superba","Cham.","CORDIACEAE Cordia superba Cham.",,"GBIF",,,,"Native","Latão","Low",
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cyperaceae","Bulbostylis","hirtella","(Schrad.) Urb.","CYPERACEAE Bulbostylis hirtella (Schrad.) Urb.","49622","GBIF","FLOR","Eiten, G.","8120","Native","Ouro","Low","2.9km SW, along Rio-S.Paulo highway, from turnoff to city of São José dos Campos."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cyperaceae","Bulbostylis","leucostachya","(Kunth) C.B.Clarke","CYPERACEAE Bulbostylis leucostachya (Kunth) C.B.Clarke","2984269","GBIF","MO","Eiten, G.","3215","Unknown","Latão","Low","6 1/2 km SW of São José dos Campos along Rio - São Paulo highway."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cyperaceae","Bulbostylis","loefgrenii","(Boeckeler) Prata & M.G.López","CYPERACEAE Bulbostylis loefgrenii (Boeckeler) Prata & M.G.López","93733","GBIF","SP","Mimura, I.","314","Native","Ouro","Low","Uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata. Ca. 9,9 km SSE em linha reta da praça principal de São José dos Campos."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cyperaceae","Bulbostylis","truncata","(Nees) M.T.Strong","CYPERACEAE Bulbostylis truncata (Nees) M.T.Strong","162679","GBIF","UB","Mimura, I.","95","Native","Ouro","Low","Ca. 7,8 km SSE em linha reta da praça principal de São José dos Campos."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cyperaceae","Cyperus","luzulae","(L.) Retz.","CYPERACEAE Cyperus luzulae (L.) Retz.","49698","GBIF","FLOR","Mimura, I.","79a","Native","Ouro","Low","Parte inferior da encosta leste do vale do Córrego da Ressaca, 6 1/2 km ao SW (ao longo da Rodovia Pres. Dutra) da saída para São José dos Campos, e dentro de 500 m ao SE da rodovia."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cyperaceae","Eleocharis","filiculmis","Kunth","CYPERACEAE Eleocharis filiculmis Kunth","VIC038785","Splink","VIC",,"3366","Native","Ouro","Low","9,6 km due SSE of main plaza of city of São José dos Campos.&nf;At entrance of real estate development 'Torrão de Ouro', where highway crosses brook."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cyperaceae","Eleocharis","maculosa","(Vahl) Roem. & Schult.","CYPERACEAE Eleocharis maculosa (Vahl) Roem. & Schult.","78583","GBIF","SP","Mimura, I.","270","Native","Ouro","Low","Uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata, ca. 8 km SW em linha reta da praça principal de São José dos Campos."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Cyperaceae","Rhynchospora",,"Vahl","CYPERACEAE Rhynchospora Vahl","36019","GBIF","VIC","Eiten, G.","8106",,"Latão","Low","10,1 km south of main plaza of city of São José dos Campos (8,1 km S of Rio - São Paulo highway), along road to Paraibuna. On lower part of gentle slope 100 m west of highway."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Malvaceae","Sida","linifolia","Cav.","MALVACEAE Sida linifolia Cav.",,"GBIF",,,,"Native","Latão","Low",
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Myrtaceae","Myrcia",,"DC.","MYRTACEAE Myrcia DC.","168314","GBIF","UB","Eiten, G.","5752",,"Ouro","Low","Exactly 5 km south of main place of city of São José dos Campos."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Myrtaceae","Psidium","guajava","L.","MYRTACEAE Psidium guajava L.",,"GBIF",,,,"Naturalized","Latão","Low",
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Ochnaceae","Ouratea","floribunda","(A.St.-Hil.) Engl.","OCHNACEAE Ouratea floribunda (A.St.-Hil.) Engl.","UB1272939","Splink","UB",,"3343","Native","Bronze","Low","Ca. 7km S of main plaza of São José dos campos along road to Paraibuna. (6,5 km S and 2,0 km E of plaza)."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Ochnaceae","Sauvagesia","racemosa","A.St.-Hil.","OCHNACEAE Sauvagesia racemosa A.St.-Hil.","185420","GBIF","UB","Mimura, I.","336","Native","Ouro","Low","Parte inferior da encosta leste do vale do Córrego da Ressaca, 6 1/2 km ao SW ( ao longo da Rodovia Presidente Dutra) da saída para São José dos Campos, e dentro de 500m ao SE da rodovia."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Angiosperms","Onagraceae","Ludwigia","nervosa","(Poir.) H.Hara","ONAGRACEAE Ludwigia nervosa (Poir.) H.Hara","185309","GBIF","UB","Mimura, I.","335","Native","Ouro","Low","Parte inferior da encosta leste do vale do Córrego da Ressaca, 6 1/2km ao SW ( ao longo da Rodovia Pres. Dutra) da saída para São José dos Campos, e dentro de 500 m ao SE da rodovia."
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO","Ferns and Lycophytes","Pteridaceae","Doryopteris","pentagona","Pic. Serm.","PTERIDACEAE Doryopteris pentagona Pic. Serm.","102620200","Splink","MO-DUPLICATES",,"2056","Native","Bronze","Low","Serra do Japi. Na trilha do DAE para o observatório."
