"","loc","loc.correct","source","Freq","alreadyInGazet","ordemGazet","statusInGazet","country","stateProvince","municipality","locality","meanLatitude","meanLongitude"
"54943","brazil_sao paulo_santo andre_estacao biologicado alto serra paranapiacaba","","gbif_splink",3780,FALSE,NA,NA,"Brazil","São Paulo","Santo André","eb do alto da serra de paranapiacaba ( 2591 ) | eb do alto da serra de paranapiacaba alto da serra ( 185 ) | eb do alto da serra de paranapiacaba via ferrea sao paulo-santos ( 123 ) | eb do alto da serra de paranapiacaba campo grande ( 71 ) | eb do alto da serra de paranapiacaba picada 1 ( 29 ) | e b do alto da serra de paranapiacaba ( 20 )",-10.6508864957672,-38.6099028637566
"16251","brazil_sao paulo_brasil","","gbif_jabot_splink",2089,FALSE,NA,NA,"Brazil","São Paulo","Santo André ( 41 ) | Ubatuba ( 41 ) | Guaratinguetá ( 37 ) | Campinas ( 34 ) | Itararé ( 20 ) | Pindamonhangaba ( 17 )","brasil estado de sao paulo campinas sub-distrito de souzas mata ribeirao cachoeira ( 105 ) | brasil sao paulo capital reserva biologica do parque estadual das fontes do ipiranga ( 22 ) | brasil sao paulo capital nativa no parque do estado e jardim botanico ( 20 ) | brasil sao paulo iguape barra do ribeira ( 18 ) | brasil sao paulo: parque do estado de sao paulo ( 16 ) | brasil sao paulo sao paulo reserva biologica parque estadual das fontes do ipiranga ( 14 )",-22.5595686740211,-47.9065745459311
"61912","brazil_sao paulo_sao paulo_parque estadual serra mar nucleo curucutu","","gbif_reflora_splink",1788,FALSE,NA,NA,"Brazil","São Paulo","São Paulo","parque estadual da serra do mar nucleo curucutu ( 266 ) | peserra do mar nucleo curucutu ( 169 ) | parque estadual da serra do mar nucleo curucutu trilha do campo ( 126 ) | parque estadual da serra do mar nucleo curucutu floresta ribeirinha ao longo do rio mambu ( 84 ) | parque estadual da serra do mar nucleo curucutu trilha do campo floresta ribeirinha altomontana com campo adjacente ( 80 ) | parque estadual da serra do mar nucleo curucutu trilha do campo floresta de neblina com campo adjacente ( 63 )",-23.759615835924,-46.6828416106608
"62913","brazil_sao paulo_sao paulo_sao paulo","","gbif_reflora_splink",1358,FALSE,NA,NA,"Brazil","São Paulo","São Paulo","sao paulo nativa no jardim botanico ( 147 ) | sao paulo agua funda nativa no jardim botanico ( 52 ) | sao paulo jardim botanico ( 50 ) | sao paulo cidade jardim ( 47 ) | sao paulo (capital) nativa no jardim botanico ( 25 ) | sao paulo; nativa no jardim botanico ( 25 )",-23.14009957662,-47.3805675048601
"24333","brazil_sao paulo_cunha_parque estadual serra mar nucleo cunha","","gbif_jabot_reflora_splink",1183,FALSE,NA,NA,"Brazil","São Paulo","Cunha","parque estadual da serra do mar nucleo cunha ( 327 ) | parque estadual da serra do mar nucleo cunha trilha do rio bonito ( 73 ) | parque estadual da serra do mar nucleo cunha trilha das cachoeiras ( 69 ) | parque estadual da serra do mar nucleo cunha; trilha das cachoeiras ( 49 ) | parque estadual da serra do mar nucleo cunha; trilha do ribeirao bonito ( 45 ) | parque estadual da serra do mar nucleo cunha/indaia trilha do rio bonito ( 37 )",-23.1520733029617,-45.0133158227407
"40193","brazil_sao paulo_mogi cruzes_apa rio tiete cesar sousa","","splink",1164,FALSE,NA,NA,"Brazil","São Paulo","Mogi das Cruzes","apa do rio tiete cesar de sousa",-23.5228128487973,-46.1882394424399
"67034","brazil_sao paulo_teodoro sampaio_parque estadualmorro diabo","","gbif_splink",1023,FALSE,NA,NA,"Brazil","São Paulo","Teodoro Sampaio","pemorro do diabo ( 1013 ) | pemorro do diabo corrego da onca ( 2 ) | pemorro do diabo regiao do aeroporto ( 2 ) | pemorro do diabo regiao da mina da serra ( 1 ) | pemorro do diabo regiao de antonio candido ( 1 ) | pemorro do diabo regiao de engenheiro vera ( 1 )",-22.5303724261975,-52.161133913001
"45599","brazil_sao paulo_parque estado","","gbif_splink",983,FALSE,NA,NA,"Brazil","São Paulo","parque do estado ( 4 )","parque do estado sao paulo - sp brasil ( 270 ) | parque do estado ( 176 ) | parque do estado sao paulo - sp 04301-902 brasil ( 41 ) | parque do estado sao paulo ( 38 ) | parque do estado s paulo ( 33 ) | parque do estado sao paulo - state of sao paulo brazil ( 30 )",-23.2256331812818,-47.2515687655137
"62948","brazil_sao paulo_sao paulo_serra bocaina","","gbif_jabot_reflora_splink",913,FALSE,NA,NA,"Brazil","São Paulo","São Paulo","serra da bocaina ( 700 ) | serra do bocaina ( 28 ) | serra da bocaina alto da boa vista ( 13 ) | serra da bocaina morro do matao ( 11 ) | serra da bocaina morro do sobrado ( 10 ) | serra da bocaina  ( 7 )",-23.6424285716867,-46.6391530621249
"42600","brazil_sao paulo_munic","","gbif_splink",846,FALSE,NA,NA,"Brazil","São Paulo","São Paulo ( 11 ) | José Bonifácio ( 1 ) | São Roque ( 1 )","munic mogi das cruzes parque municipal da serra de itapety ( 28 ) | munic jose bonifacio estrada de terra municipal jose bonifacio-nova alianca fazenda jacare (entre corregos jacare-fartura) ( 26 ) | munic jose bonifacio fazenda jacare ( 20 ) | munic teodoro sampaio regiao do pontal do paranapanema parque estadual morro do diabo ca 30 km da sede pela trilha corrego 7 de setembro ou rio da onca ou angelim ( 16 ) | munic jaci estrada de terra de acesso ao povoado de sto antonio das perobas (divisa entre jose bonifacio-jaci) fazenda remanso ( 14 ) | munic adolfo estrada de terra adolfo-sales ca 6km de adolfo ( 12 )",-22.0197594202128,-48.705860478487
"20337","brazil_sao paulo_campos sete lagoas""","","gbif",803,FALSE,NA,NA,"Brazil","São Paulo","Mogi Guaçu ( 32 )","campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 37 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 89 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 10 km nne of padua sales (about 27 km nw of city of moji-mirim) ( 76 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 34 km nnw of padua sales (27 km nw of city of moji-mirim) ( 34 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu ca 4 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 24 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 4 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 21 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu ~4 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 18 )",-22.2496806898879,-47.8067150212578
"9982","brazil_sao paulo_alto serra_alto serra","","gbif_splink",796,FALSE,NA,NA,"Brazil","São Paulo","","alto da serra ( 589 ) | alto da serra s paulo ( 41 ) | alto de serra ( 17 ) | alto da serra sao paulo ( 14 ) | alto da serra via anchieta comeco da descida para cubatao ( 8 ) | alto da serra serra do mar ( 6 )",-22.3665320268844,-48.4016458494975
