"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Annonaceae","Duguetia","salicifolia","R.E.Fr.","ANNONACEAE Duguetia salicifolia R.E.Fr.","SPSF00047207","Splink","SPSF","Moura, C.","407","Native","Bronze","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Arecaceae","Geonoma","gamiova","Barb.Rodr.","ARECACEAE Geonoma gamiova Barb.Rodr.","SPSF00047211","Splink","SPSF","Moura, C.","411","Native","Latão","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Arecaceae","Syagrus","hoehnei","Burret","ARECACEAE Syagrus hoehnei Burret","SPSF00045961","Splink","SPSF","Arzolla, F.A.R.D.P.","1529","Native","Bronze","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Asteraceae","Barrosoa","betonicaeformis","(DC.) R.M.King & H.Rob.","ASTERACEAE Barrosoa betonicaeformis (DC.) R.M.King & H.Rob.","SPSF00045942","Splink","SPSF","Arzolla, F.A.R.D.P.","1504","Native","Prata","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Elaeocarpaceae","Sloanea","hirsuta","(Schott) Planch. ex Benth.","ELAEOCARPACEAE Sloanea hirsuta (Schott) Planch. ex Benth.","SPSF00045949","Splink","SPSF","Arzolla, F.A.R.D.P.","1515","Native","Bronze","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Erythroxylaceae","Erythroxylum","argentinum","O.E.Schulz","ERYTHROXYLACEAE Erythroxylum argentinum O.E.Schulz","SPSF00045947","Splink","SPSF","Arzolla, F.A.R.D.P.","1511","Native","Prata","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Euphorbiaceae","Cnidoscolus","racemosa","(Vell.) Kiaersk.","EUPHORBIACEAE Cnidoscolus racemosa (Vell.) Kiaersk.","HUFABC003148","Splink","HUFABC","Arzolla, F.A.R.D.P.","1495",,"Bronze","Parque Estadual Nascentes do Paranapanema, Fazenda Sakamoto; Trilha da Barra do Amendoim; Margens do rio Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Fabaceae","Dahlstedtia","pentaphylla","(Taub.) Burkart","FABACEAE Dahlstedtia pentaphylla (Taub.) Burkart","SPSF00045937","Splink","SPSF","Arzolla, F.A.R.D.P.","1497","Native","Prata","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Fabaceae","Inga","barbata","Benth.","FABACEAE Inga barbata Benth.","SPSF00045941","Splink","SPSF","Arzolla, F.A.R.D.P.","1503","Native","Prata","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Humiriaceae","Vantanea","compacta","(Schnizl.) Cuatrec.","HUMIRIACEAE Vantanea compacta (Schnizl.) Cuatrec.","SPSF00047221","Splink","SPSF","Arzolla, F.A.R.D.P.","1571","Native","Bronze","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Lauraceae","Endlicheria","paniculata","(Spreng.) J.F.Macbr.","LAURACEAE Endlicheria paniculata (Spreng.) J.F.Macbr.","SPSF00045929","Splink","SPSF","Arzolla, F.A.R.D.P.",,"Native","Ouro","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Lauraceae","Ocotea","daphnifolia","(Meisn.) Mez","LAURACEAE Ocotea daphnifolia (Meisn.) Mez","SPSF00045936","Splink","SPSF","Arzolla, F.A.R.D.P.","1496","Native","Ouro","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Lauraceae","Ocotea","teleiandra","(Meisn.) Mez","LAURACEAE Ocotea teleiandra (Meisn.) Mez","SPSF00045958","Splink","SPSF","Arzolla, F.A.R.D.P.","1526","Native","Ouro","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Melastomataceae","Chaetogastra","gracilis","(Bonpl.) DC.","MELASTOMATACEAE Chaetogastra gracilis (Bonpl.) DC.","SPSF00045945","Splink","SPSF","Arzolla, F.A.R.D.P.","1508","Native","Bronze","Parque Estadual Nascentes do Paranapanema","Não"
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","Angiosperms","Melastomataceae","Leandra","amplexicaulis","DC.","MELASTOMATACEAE Leandra amplexicaulis DC.","SPSF00045940","Splink","SPSF","Arzolla, F.A.R.D.P.","1500","Native","Ouro","Parque Estadual Nascentes do Paranapanema","Não"
