Origin Image,Barcode,Herbarium of Origin,Associated duplicates in Virtual Herbarium,Indicated duplicates the voucher specimen,Rank:,Scientific Name,"Determination qualifier (cf., aff. ou !)",Family,Genus,Species,subsp./var./forma,Author of Taxon,Determiner,Determination Date ,Type,Collector,Other Collectors,Collection Number,From:,To:,Plant description,Country,State,City,Description of Location,Elevation Minimum,Elevation Maximum,Measurement unit,Latitude Minimum,Latitude Maximum,Longitude Minimum,Longitude Maximum,Comments,Updated by,Updated
A,A00053855,A,,,Species,FABACEAE Dicymbe heteroxylon Ducke,,Fabaceae,Dicymbe,heteroxylon,,Ducke,No determiner,,yes - Isotype,A. Ducke,,1497,27/05/1940,,,Brazil,Amazonas,,Sao Paulo de Olivenca,,,METRO,,,,,,,
A,A00064506,A,,,Species,FABACEAE Ormosia solimoesensis Rudd,,Fabaceae,Ormosia,solimoesensis,,Rudd,No determiner,,yes - Isotype,R. L. Fróes,,12078,28/06/1941,,,Brazil,Amazonas,,"Basin of Rio Solimoes, Jg. Belem, Mun. Sâo Paulo de Olivença, Igapo",,,METRO,,,,,,,
A,A00299108,A,,,Species,FABACEAE Swartzia krukovii R. S. Cowan,,Fabaceae,Swartzia,krukovii,,R. S. Cowan,No determiner,,yes - Isotype,B. A. Krukoff,,8937,26/10/1936,,,Brazil,Amazonas,,"Municipality Sao Paulo de Olivenca, basin of creek Belem",,,METRO,,,,,,,
PMSP,PMSP00000430,PMSP,,,Species,FABACEAE Cassia leptophylla Vogel,,Fabaceae,Cassia,leptophylla,,Vogel,D.C. Zappi,--/04/1985,no,J. Bessa,,,22/11/1984,,"Arvoreta,  3 m alt., flores amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000478,PMSP,,,Species,FABACEAE Sesbania virgata (Cav.) Pers.,,Fabaceae,Sesbania,virgata,,(Cav.) Pers.,R. Monteiro,--/03/2003,no,L. Rossi,"R.J.F. Garcia,L.H. Manzochi",,02/01/1985,,"Árvore, 4-5 m alt.; Frutos amarelo-claros a castanhos quando secos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000500,PMSP,,,Species,FABACEAE Clitoria fairchildiana R.A.Howard,,Fabaceae,Clitoria,fairchildiana,,R.A.Howard,No determiner,,no,L. Rossi,"R.J.F. Garcia,S. Honda",,16/01/1985,,"Árvore, 8 m alt.; vexilo roxo com mancha púrpura e carena mais clara.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000503,PMSP,,,Species,FABACEAE Bauhinia longifolia (Bong.) Steud.,,Fabaceae,Bauhinia,longifolia,,(Bong.) Steud.,A.M.S.F. Vaz,03/07/1997,no,L. Rossi,"R.J.F. Garcia,S. Honda",,07/02/1985,,"Arvoreta, bem ramificada; flores esverdeadas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000509,PMSP,,,Species,FABACEAE Cassia fistula L.,,Fabaceae,Cassia,fistula,,L.,L. Rossi,,no,I. Soares,,,29/11/1984,,"Arvoreta, 4 m alt., flores amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000575,PMSP,,,Species,FABACEAE Trifolium repens L.,,Fabaceae,Trifolium,repens,,L.,S.T. Miotto,--/01/1999,no,M. Bittar,"L. Rossi,S. Honda,I. Soares",,02/04/1985,,Erva; flores alvas.,Brasil,São Paulo,São Paulo,,,,METRO,,,,,Antes da implantação do parque. [Pq. Campo Limpo],,
PMSP,PMSP00000587,PMSP,,,Species,FABACEAE Bauhinia longifolia (Bong.) Steud.,,Fabaceae,Bauhinia,longifolia,,(Bong.) Steud.,A.M.S.F. Vaz,03/07/1997,no,R.J.F. Garcia,,,06/05/1985,,"Árvore, 6 m alt., copa arredondada; sépalas verdes, filetes novos alvos, filetes velhos, sem anteras, rosados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
